Source_ID,Reference,Redshift,LFIR_sky,LFIR_sky_sigma,LCO,LCO_sigma,mu,HCN(1-0),Delta_HCN(1-0),HCO+(1-0),Delta_HCO+(1-0),HNC(1-0),Delta_HNC(1-0),HCN(3-2),Delta_HCN(3-2),HCO+(3-2),Delta_HCO+(3-2),HNC(3-2),Delta_HNC(3-2),HCN(4-3),Delta_HCN(4-3),HCO+(4-3),Delta_HCO+(4-3),HNC(4-3),Delta_HNC(4-3),tau_dense,tau_dense_rms,tau_mol,tau_mol_rms
SDP.81,Rybak25,3.024,4.30E+13,,5.40E+11,,18,-3.70E+11,NaN,-4.20E+10,NaN,-2.40E+10,NaN,,,,,,,-7.20E+09,NaN,1.60E+10,4.30E+09,-7.10E+09,NaN,-17,NaN,73,15
#Spilker_Stack,0,3,4.00E+13,,2.97E+11,,5,,,,,,,,,,,,,1.34E+10,3.20E+09,1.17E+10,3.20E+09,,,,,,
#Reuter_Stack,0,3,9.10E+13,,2.35E+11,,6,,,,,,,,,,,,,1.07E+10,1.46E+09,9.27E+09,1.48E+09,6.40E+09,1.63E+09,,,,
#hagimoto,,2.5,3.00E+13,,,,,,,,,,,,,,,,,-4.80E+10,,4.70E+10,,-5.50E+10,,,,,
SDP.130,Rybak25,2.625,3.20E+13,3.00E+12,2.50E+11,4.00E+10,8.6,-1.40E+10,NaN,-1.30E+10,NaN,-1.60E+10,NaN,-1.30E+10,NaN,-1.13E+10,NaN,-8.30E+09,NaN,5.20E+09,2.30E+09,-4.50E+09,NaN,3.10E+09,2.40E+09,16,4,46,8
SDP.17,Rybak25,2.305,7.60E+13,2.60E+13,2.60E+11,3.00E+10,4.9,,,,,,,,,,,,,1.26E+10,1.60E+09,8.00E+09,1.60E+09,1.25E+10,1.70E+09,20,7,20,7
G09v1.326,Rybak25,2.581,4.00E+13,5.00E+12,3.30E+11,8.00E+10,1,,,,,,,,,,,,,5.20E+09,1.30E+09,6.10E+09,1.50E+09,7.80E+09,1.30E+09,13,2,48,13
G12v2.43,Rybak25,3.127,9.00E+13,2.00E+12,1.54E+11,3.00E+10,9.2,,,,,,,,,,,,,2.07E+10,1.50E+09,1.46E+10,1.40E+09,2.10E+10,1.50E+09,23,1,10,2
G15v2.235,Rybak25,2.479,2.80E+13,7.00E+12,4.34E+11,5.00E+10,1.8,,,,,,,,,,,,,-7.40E+09,NaN,-7.50E+09,NaN,-7.80E+09,NaN,-26,NaN,91,25
NAv1.195,Rybak25,2.951,7.50E+13,2.00E+13,5.70E+11,2.00E+11,4.1,,,,,,,,,,,,,1.83E+10,2.90E+09,1.65E+10,2.40E+09,-2.88E+10,NaN,24,2,44,20
#J0209,Rybak25,2.553,1.33E+14,4.00E+12,8.40E+11,1.10E+11,14.7,1.20E+11,1.50E+10,9.46E+10,1.90E+10,9.50E+10,2.40E+10,7.90E+10,1.20E+10,6.30E+10,1.10E+10,3.76E+10,9.40E+09,1.05E+11,2.20E+09,8.33E+10,2.50E+10,5.03E+10,8.80E+09,,,,
J0209,Rybak25,2.553,1.33E+14,4.00E+12,8.40E+11,1.10E+11,14.7,1.20E+11,1.50E+10,9.46E+10,1.90E+10,9.50E+10,2.40E+10,5.60E+10,7.30E+09,3.13E+10,7.20E+09,3.00E+10,4.60E+09,9.60E+10,5.00E+09,4.80E+10,3.00E+09,5.70E+10,3.00E+09,60,3,37,5
J1202,Rybak25,2.442,8.10E+13,4.00E+12,1.42E+12,5.00E+11,25,8.00E+10,4.00E+10,-4.20E+10,NaN,-5.70E+10,NaN,6.18E+10,9.30E+09,5.96E+10,9.30E+09,1.76E+10,9.30E+09,2.25E+10,5.60E+09,2.41E+10,5.60E+09,-1.16E+10,NaN,103,36,103,36
SDP.9,Rybak25,1.575,6.60E+13,1.00E+12,1.30E+11,3.00E+10,6.1,3.80E+10,1.30E+10,3.80E+10,1.30E+10,-1.80E+10,NaN,1.64E+10,2.70E+09,8.50E+09,3.40E+09,9.90E+09,2.40E+09,8.40E+09,9.00E+08,8.00E+09,9.00E+08,8.30E+09,1.30E+09,35,2,12,3
SDP.11,Rybak25,1.786,6.40E+13,1.00E+12,1.30E+11,1.00E+10,4.5,-5.40E+10,NaN,-5.40E+10,NaN,-5.40E+10,NaN,1.70E+10,2.50E+09,7.30E+09,6.00E+08,-2.00E+09,NaN,9.40E+09,1.90E+09,-5.40E+09,1.80E+09,-3.50E+09,1.20E+09,38,12,12,2
G09v1.40,Rybak25,2.092,6.60E+13,2.50E+13,3.00E+11,8.00E+10,15.3,,,,,,,9.40E+09,1.90E+09,1.13E+10,1.90E+09,8.00E+09,1.80E+09,NaN,NaN,NaN,NaN,NaN,NaN,20,2,27,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G244.8+54.9,Canameras+21,3,2.65E+14,,1.65E+12,,22,,,,,,,,,,,,,7.60E+10,2.10E+10,9.80E+10,3.00E+10,,,,,,
NCv1.143,Yang+23,3.565,1.40E+14,2.00E+13,,,12.2,,,,,,,,,,,,,3.50E+10,2.30E+09,2.11E+10,2.30E+09,2.40E+10,4.40E+09,,,, # magnification from Yang+2017
APM,Yang+23,3.911,3.40E+14,4.00E+13,,,3,,,,,,,,,,,,,5.40E+10,5.40E+09,3.90E+10,5.30E+09,3.50E+10,5.10E+09,,,,
